u,v
1032159535,896336405
2508189933,253819317
2508189933,1024988200
2508189937,2508189935
2508189937,253819317
2508189937,622204737
622204719,1027194652
622204719,2508189913
622204719,697791314
622204719,253819317
253819556,896336405
253819556,2508189909
253819556,896336472
896336405,1032159535
896336405,253819556
896336405,896336338
2508189909,253819556
2508189909,896336338
2508189909,896336338
896336472,896336458
896336472,896336589
896336472,253819556
896336472,896336564
253819570,896336714
253819570,10078060242
253819570,10078060511
253819570,5477634020
253819570,1025289025
896336714,896336709
896336714,253819570
896336714,704440073
10078060242,10078060578
10078060511,253819570
10078060511,908207013
10078060511,10078060242
5477634020,9402681818
5477634020,253819570
5477634020,896336663
1025289025,1025288581
1025289025,10078060578
1025289025,1034252489
253819571,1034252059
253819571,10132397973
253819571,1025288452
1034252059,1034252489
1034252059,1025288581
10132397973,10078060296
10132397973,253819571
10132397973,5119700749
1025288452,253819571
1025288452,10132397974
253820648,621144001
253820648,1188085123
253820648,253820851
621144001,1569484187
621144001,253820648
621144001,1569484158
253820851,622204769
253820851,2006216736
622204769,253820851
622204769,1197004215
622204769,622204771
2006216736,1596738206
2006216736,10078060432
253825602,10933913990
253825602,1601689441
253825602,253825831
253825602,253825831
10933913990,253825602
10933913990,2815912141
10933913990,11793918145
1601689441,253825602
1601689441,1601689420
1601689441,2815912141
253825831,253825602
253825831,253825602
253825831,11793918110
11793918110,253825831
11793918110,11793918116
11793918110,11793918116
253825914,4706296483
253825914,1601689472
253825914,6715220604
1601689472,825160403
1601689472,825160017
1601689472,253825914
253827828,3259705338
253827828,1510041623
253827828,5012466340
3259705338,253827828
3259705338,3259705339
3259705338,3259705344
1510041623,2210423400
1510041623,2210423377
1510041623,2210423395
1510041623,253827828
5012466340,5012466346
5012466340,5012466336
5012466340,253827828
253827829,3259705339
253827829,3259705343
253827829,2612546026
253827829,7860226866
3259705339,3259705338
3259705339,253827829
3259705339,3259705344
3259705343,253827829
3259705343,3259705346
3259705343,9629048061
2612546026,253827829
2612546026,5057830724
2612546026,11901200512
7860226866,9924841906
7860226866,253827829
7860226866,7860226864
253941599,1050142147
1050142147,2836516844
1050142147,1029865581
253942089,2836516843
253942089,2614944179
2836516843,253942089
2836516843,2669116176
2836516843,10270062348
2614944179,1029865632
2614944179,2669116176
253943921,2418265866
253943921,10296922330
253943921,10266294951
2418265866,4648939205
2418265866,253943921
2418265866,10554801805
10296922330,10296922334
10296922330,253943921
10296922330,10296922328
10266294951,10266294974
10266294951,253943921
10266294951,8203002742
253944995,10307253323
253944995,632238135
253944995,8196750191
10307253323,253944995
10307253323,1516088456
10307253323,10307253322
632238135,253944995
632238135,10266295011
632238135,3078227101
8196750191,253944995
